id,name,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,2,0
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,10,0
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,1616,18,0,1,4,0
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4,0,0,0,0
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,0,0
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,1,0
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,4,0
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,2,1
11,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,2,0
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,5,0
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,11,0
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,8,0
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,1,0
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,7,0
17,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,15,0
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,20,11,1065,11.8,2,2,7,0
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,6,1
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,6,0
23,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,2,1
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,0,0
25,Amath,sn SEN,FWMF,Mallorca,25,1996,19,9,884,9.8,0,1,5,0
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2,0,0,1,0
27,José Ángel,es ESP,DF,Osasuna,31,1989,23,12,1083,12,1,1,2,1
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,2663,29.6,0,5,13,0
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,2617,29.1,0,0,4,0
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,6,0
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,1,0
33,Matias Arezo,uy URU,FW,Granada,18,2002,8,1,162,1.8,0,0,1,0
34,Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,0
35,Santiago Arzamendia,py PAR,MFDF,Cádiz,23,1998,14,5,469,5.2,1,0,2,0
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6,0,0,1,0
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,31,19,1731,19.2,10,0,2,0
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,9,0
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12,11,1,0,0
41,Ludwig Augustinsson,se SWE,DF,Sevilla,27,1994,19,9,793,8.8,0,1,3,0
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,4,0
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,36,22,1870,20.8,6,1,9,1
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1934,21.5,2,0,9,0
45,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,3,0
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24,0,0,2,0
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0,0,0,0,0
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,5,2,188,2.1,0,0,0,0
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,2,0
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,2,0
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35,1,2,10,1
52,Barbero,es ESP,MFFW,Osasuna,22,1998,6,0,21,0.2,0,0,0,0
53,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,30,17,1701,18.9,3,3,3,0
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,9,0
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,21,9,865,9.6,2,0,2,0
57,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,5,0
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,11,6,547,6.1,1,1,0,0
